sample_id,System_A,System_B,System_C,System_D,System_E
GSM1691935,1760.973939149426,1524.479164115599,780.554985940079,942.5934517229398,542.2793023020104
GSM1691936,1712.142758075321,1543.364847198913,811.5473968047472,833.9237204753163,426.6613406968436
GSM1691937,1723.5023104327192,1306.3481025338824,1091.7125686456393,785.5969016402314,1115.0018966205653
GSM1691938,1826.266578088232,1619.0389215122775,902.432917518945,953.7310677902178,593.4218955531514
GSM1691939,1718.0602590629196,1567.589494594141,859.1921187397193,821.4056313671044,542.8286898378628
GSM1691940,1716.639952077593,1579.9639548944524,837.6884383125953,901.7336889318012,588.0507362817416
GSM1691941,1782.5431194996909,1546.9190080882845,896.4140148740698,949.2178233448049,545.6908330084925
GSM1691942,1797.0409120486029,1480.038422716838,868.1409978729316,1094.4053325156538,357.3365960030087
GSM1691943,1751.2163665392854,1580.504936401259,889.5410279863727,999.4594757652868,538.1100310067404
GSM1691944,1753.9143789602722,1697.3145548224684,813.3533498058423,913.7149457256272,570.7130008191589
GSM1691945,1733.0844768824827,1666.6374682025123,800.0228177953813,887.9665480843523,503.6899012198619
GSM1691946,1829.3966006969597,1652.5084952934749,853.2531054898009,995.0568943525768,535.8750797150915
GSM1691947,1716.9066498078955,1629.7622475371063,963.1689748236404,900.2010087667095,513.4067797273228
GSM1691948,1701.517742473553,1686.2441100444612,730.5561204734868,834.5804221209573,625.7187375390185
GSM1691949,1724.5865464074177,1518.4342041704158,931.2847386413496,755.1526489117532,868.7676281270878
GSM1691950,1700.3164726777777,1672.5488173348294,763.499377470539,958.5397541280572,552.3459235598411
GSM1691951,1707.4286096323513,1651.7229779333263,823.5268539347389,879.6184239173044,542.176615239332
GSM1691952,1752.453166473009,1686.459125320721,888.6442248626281,927.3919466816432,529.954979633967
GSM1691953,1723.9370306749424,1605.1553205596765,972.2808030440792,789.1317408464765,786.1664250098947
GSM1691954,1774.9763149434712,1576.6312563172642,951.3247911602994,924.1747784863446,515.247444954447
GSM1691955,1734.8229021697489,1669.930645876093,846.0912820257663,938.9562347170232,557.0526613146649
GSM1691957,1697.7442356649854,1571.8072565986713,950.087189811291,896.20270946243,547.3251027501419
